id,year,make,model,trim,vin,is_new,exterior_color,interior_color,engine_cylinders,drive_train,transmission,transmission_desc,epa_city,epa_highway,fuel_type,selling_price,mileage,description,features,comments
75,2022,Hyundai,Santa Fe,SEL FWD,5NMS24AJ4NH398029,False,Calypso Red,Beige,4.0,Front Wheel Drive,Automatic,Automatic,25.0,28.0,Gasoline Fuel,28995.0,13635.0,CARFAX One-Owner. Clean CARFAX. Calypso Red 2022 Hyundai Santa Fe SEL FWD 8-Speed Automatic with SHIFTRONIC 2.5L I4 Beige Leather.Recent Arrival! Odometer is 2920 miles below market average! 25/28 City/Highway MPGIf you have any questions or would like some general information about financing or would like a price quote on a new or used vehicle please call.,,
76,2024,Chevrolet,Trax,FWD 4dr ACTIV,KL77LKE27RC006530,True,Mosaic Black Metallic,Jet Black with Artemis accents,3.0,Front Wheel Drive,Automatic,Automatic,28.0,32.0,Gasoline Fuel,27645.0,5.0,,,
77,2018,Chevrolet,Volt,5dr HB LT,1G1RC6S57JU128782,False,Summit White,Jet Black/Jet Black,4.0,Front Wheel Drive,Automatic,Automatic,43.0,42.0,Hybrid Fuel,20995.0,97169.0,"Clean CARFAX. Summit White 2018 Chevrolet Volt LT FWD 1-Speed Automatic 1.5L VVT DI DOHC 4-Cylinder Range Extender 6-Speaker Audio System Feature, Automatic temperature control, Exterior Parking Camera Rear, Preferred Equipment Group 2LT, Premium audio system: Chevrolet MyLink, Radio: Chevrolet MyLink AM/FM Stereo, SiriusXM Satellite Radio, Steering wheel mounted audio controls, Telescoping steering wheel, Tilt steering wheel, Wheels: 17 x 7 5-Spoke Painted Aluminum.Awards:* 2018 IIHS Top Safety Pick with optional front crash prevention * 2018 KBB.com 10 Most Awarded BrandsIf you have any questions or would like some general information about financing or would like a price quote on a new or used vehicle please call.",,
78,2020,Tesla,Model 3,Standard Range Plus RWD,5YJ3E1EA9LF597385,False,White,,,Rear Wheel Drive,Automatic,Automatic,0.0,0.0,Electric Fuel System,29995.0,60087.0,"Clean CARFAX. Pearl White Multi-Coat 2020 Tesla Model 3 Standard Range Plus RWD 1-Speed Automatic Electric ZEV 271hp Automatic temperature control, Exterior Parking Camera Rear, Front dual zone A/C, Navigation System, Radio: Upgraded Audio System, Steering wheel mounted A/C controls, Steering wheel mounted audio controls, Telescoping steering wheel, Tilt steering wheel, Wheels: 18 x 8.5 Aero.Recent Arrival! 148/132 City/Highway MPGIf you have any questions or would like some general information about financing or would like a price quote on a new or used vehicle please call.",,
79,2023,Chevrolet,Silverado 1500,"2WD Double Cab 147"" Custom",1GCRABEK9PZ291663,True,Summit White,Jet Black,4.0,Rear Wheel Drive,Automatic,Automatic,19.0,22.0,Gasoline Fuel,45590.0,2.0,,,
80,2019,Chevrolet,Traverse,FWD 4dr LT Cloth w/1LT,1GNERGKW7KJ175372,False,Summit White,Jet Black,6.0,Front Wheel Drive,Automatic,Automatic,18.0,27.0,Gasoline Fuel,29995.0,48769.0,"Clean CARFAX. Summit White 2019 Chevrolet Traverse LT Cloth w/1LT FWD 9-Speed Automatic 3.6L V6 SIDI VVT **CARFAX 1 OWNER **, ** NEW BRAKES & TIRES**, **CLEAN CARFAX**.Recent Arrival! Odometer is 12683 miles below market average! 18/27 City/Highway MPGAwards:* 2019 KBB.com 12 Best Family CarsIf you have any questions or would like some general information about financing or would like a price quote on a new or used vehicle please call.",,
81,2016,Kia,Sorento,FWD 4dr 2.4L LX,5XYPG4A33GG094227,False,Sparkling Silver,Satin Black,4.0,Front Wheel Drive,Automatic,Automatic,21.0,29.0,Gasoline Fuel,16995.0,69292.0,"Sparkling Silver 2016 Kia Sorento LX FWD 6-Speed Automatic with Sportmatic 2.4L DOHCOdometer is 23474 miles below market average! 21/29 City/Highway MPGAwards:* 2016 KBB.com 10 Best Used Midsize SUVs Under $15,000 * 2016 KBB.com 10 Best Certified Pre-Owned 3-Row SUVs Under $30,000 * 2016 KBB.com 10 Best SUVs Under $25,000If you have any questions or would like some general information about financing or would like a price quote on a new or used vehicle please call.",,
82,2021,Toyota,Tundra 2WD,SR5 Double Cab 6.5' Bed 5.7L (Natl),5TFRY5F16MX272966,False,White,,8.0,Rear Wheel Drive,Automatic,Automatic,13.0,17.0,Gasoline Fuel,40995.0,33331.0,"CARFAX One-Owner. Clean CARFAX. Super White 2021 Toyota Tundra SR5 RWD 6-Speed Automatic Electronic with Overdrive i-Force 5.7L V8 DOHC 32V LEV **CARFAX 1 OWNER **, **CLEAN CARFAX**, Air Conditioning, Apple CarPlay/Android Auto, Exterior Parking Camera Rear, Steering wheel mounted audio controls, Tilt steering wheel.Recent Arrival!If you have any questions or would like some general information about financing or would like a price quote on a new or used vehicle please call.",,
83,2023,Chevrolet,Silverado 1500,"2WD Crew Cab 157"" LT",3GCPACED4PG320937,True,Radiant Red Tintcoat,Jet Black,4.0,Rear Wheel Drive,Automatic,Automatic,17.0,21.0,Gasoline Fuel,54930.0,5.0,,,
84,2023,Chevrolet,Silverado 1500,"4WD Crew Cab 147"" High Country",1GCUDJE87PZ306256,True,Radiant Red Tintcoat,Jet Black,8.0,Four Wheel Drive,Automatic,Automatic,21.0,23.0,Diesel Fuel,69930.0,4.0,,,
85,2023,Chevrolet,Traverse,FWD 4dr LS w/1LS,1GNERFKW0PJ266386,True,Summit White,Jet Black/Chai,6.0,Front Wheel Drive,Automatic,Automatic,18.0,27.0,Gasoline Fuel,36190.0,8.0,,,
86,2023,Chevrolet,Traverse,FWD 4dr LS w/1LS,1GNERFKW8PJ266412,True,Summit White,Jet Black/Chai,6.0,Front Wheel Drive,Automatic,Automatic,18.0,27.0,Gasoline Fuel,36190.0,9.0,,,
87,2023,Chevrolet,Traverse,FWD 4dr Premier,1GNERKKW5PJ279353,True,Summit White,Jet Black,6.0,Front Wheel Drive,Automatic,Automatic,18.0,27.0,Gasoline Fuel,50330.0,3.0,,,
88,2023,Chevrolet,Traverse,FWD 4dr Premier,1GNERKKW6PJ279426,True,Summit White,Jet Black,6.0,Front Wheel Drive,Automatic,Automatic,18.0,27.0,Gasoline Fuel,50330.0,4.0,,,
